,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,15.0,13.0,10.0,4.0,14.0,6.5,1.0,2.5,11.5,5.0,9.0,6.5,11.5,2.5,8.0
1,13.5,9.0,5.5,2.0,15.0,11.0,2.0,5.5,9.0,13.5,9.0,5.5,12.0,5.5,2.0
2,3.0,9.5,2.0,12.5,4.0,6.0,6.0,15.0,6.0,12.5,12.5,8.0,1.0,12.5,9.5
3,15.0,9.0,11.5,13.5,6.0,2.0,6.0,9.0,1.0,9.0,11.5,3.5,6.0,13.5,3.5
4,15.0,13.5,10.5,2.0,12.0,4.5,1.0,3.0,4.5,10.5,6.0,13.5,7.0,8.0,9.0
5,15.0,4.5,10.5,2.0,12.5,10.5,2.0,6.5,12.5,2.0,4.5,8.5,6.5,8.5,14.0
6,12.0,2.0,14.5,4.0,12.0,4.0,1.0,7.0,4.0,7.0,12.0,10.0,14.5,7.0,9.0
7,12.0,5.0,8.5,13.0,8.5,3.5,8.5,14.5,1.0,14.5,8.5,3.5,11.0,2.0,6.0
8,14.5,11.5,14.5,9.5,7.0,5.0,1.0,3.0,2.0,11.5,7.0,13.0,4.0,9.5,7.0
9,14.5,14.5,7.0,4.5,2.5,4.5,1.0,10.0,2.5,12.5,10.0,7.0,7.0,10.0,12.5
10,8.0,14.5,12.0,4.5,9.5,2.5,12.0,6.5,1.0,6.5,2.5,9.5,12.0,14.5,4.5
11,15.0,7.0,12.5,10.0,2.0,3.5,10.0,14.0,1.0,10.0,7.0,12.5,5.0,3.5,7.0
12,15.0,8.0,14.0,4.0,10.0,3.0,12.5,8.0,12.5,5.5,8.0,1.5,11.0,5.5,1.5
13,14.0,9.0,12.0,3.5,13.0,2.0,15.0,6.0,1.0,3.5,9.0,11.0,6.0,9.0,6.0
14,13.5,5.0,12.0,10.0,15.0,4.0,8.0,13.5,1.0,6.5,2.5,10.0,6.5,2.5,10.0
15,15.0,13.5,11.0,6.0,13.5,8.5,2.0,3.5,3.5,1.0,11.0,6.0,6.0,8.5,11.0
16,15.0,4.5,13.5,7.0,10.0,2.5,13.5,10.0,1.0,7.0,2.5,4.5,12.0,10.0,7.0
17,14.0,11.5,10.0,3.0,6.0,8.5,1.5,14.0,1.5,6.0,8.5,4.0,11.5,6.0,14.0
18,15.0,7.5,12.0,4.5,7.5,12.0,1.0,2.5,10.0,4.5,2.5,7.5,14.0,12.0,7.5
19,13.5,8.0,8.0,3.0,10.0,1.5,8.0,4.5,13.5,1.5,11.5,6.0,11.5,15.0,4.5
