,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,15.0,1.0,12.5,2.5,12.5,4.5,8.0,10.5,2.5,10.5,9.0,4.5,6.5,6.5,14.0
1,15.0,7.5,13.0,2.0,7.5,4.5,13.0,10.5,1.0,7.5,3.0,7.5,13.0,4.5,10.5
2,15.0,4.0,12.0,2.0,9.0,6.5,4.0,12.0,1.0,4.0,12.0,9.0,9.0,14.0,6.5
3,15.0,12.0,7.5,2.5,10.0,4.5,12.0,7.5,1.0,4.5,2.5,7.5,7.5,14.0,12.0
4,15.0,10.0,7.5,2.0,12.0,4.0,7.5,4.0,1.0,7.5,4.0,12.0,12.0,7.5,14.0
5,15.0,8.0,13.5,3.0,13.5,11.5,8.0,3.0,1.0,5.5,3.0,8.0,11.5,10.0,5.5
6,15.0,7.5,12.0,2.0,5.0,10.0,7.5,12.0,3.0,12.0,1.0,5.0,9.0,14.0,5.0
7,15.0,12.0,8.5,3.0,12.0,8.5,6.0,10.0,1.0,6.0,3.0,3.0,6.0,12.0,14.0
8,15.0,3.5,11.0,2.0,13.5,8.0,6.0,12.0,1.0,6.0,3.5,9.5,13.5,9.5,6.0
9,14.0,5.5,5.5,1.5,11.0,3.0,9.0,5.5,1.5,12.0,5.5,9.0,9.0,15.0,13.0
10,14.5,13.0,6.5,2.0,6.5,1.0,3.5,14.5,3.5,6.5,10.5,9.0,10.5,6.5,12.0
11,15.0,8.5,11.0,3.0,12.5,3.0,8.5,1.0,3.0,14.0,8.5,5.5,12.5,8.5,5.5
12,12.5,2.0,4.0,11.0,3.0,6.0,14.5,6.0,6.0,14.5,1.0,12.5,9.5,8.0,9.5
13,12.5,5.5,9.0,15.0,3.5,9.0,2.0,12.5,1.0,12.5,3.5,5.5,9.0,12.5,7.0
14,13.0,7.0,7.0,3.0,2.0,10.0,4.0,13.0,1.0,7.0,7.0,13.0,15.0,11.0,7.0
15,13.5,7.5,15.0,3.0,1.0,3.0,7.5,7.5,3.0,12.0,7.5,5.0,10.0,13.5,11.0
16,15.0,5.5,9.0,5.5,2.0,9.0,14.0,3.0,5.5,13.0,11.5,1.0,11.5,9.0,5.5
17,15.0,4.0,13.5,11.0,4.0,2.0,8.5,11.0,1.0,8.5,4.0,6.5,13.5,6.5,11.0
18,13.5,6.5,9.5,3.0,13.5,9.5,4.5,9.5,1.0,13.5,4.5,2.0,13.5,9.5,6.5
19,14.5,9.5,6.5,2.5,4.0,11.5,6.5,14.5,1.0,6.5,9.5,2.5,6.5,11.5,13.0
