,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,15.0,8.5,12.5,1.0,10.5,14.0,6.5,4.0,10.5,2.0,6.5,4.0,4.0,8.5,12.5
1,15.0,8.0,13.0,1.5,10.0,13.0,6.0,1.5,4.0,10.0,6.0,10.0,13.0,6.0,3.0
2,15.0,5.0,9.5,2.0,2.0,13.0,5.0,11.0,9.5,2.0,13.0,7.0,8.0,13.0,5.0
3,15.0,5.5,12.0,1.0,3.0,12.0,9.5,14.0,5.5,5.5,2.0,8.0,9.5,12.0,5.5
4,15.0,6.5,6.5,1.0,6.5,11.0,13.5,11.0,3.5,3.5,11.0,2.0,6.5,9.0,13.5
5,15.0,5.5,5.5,1.5,3.0,12.0,8.0,12.0,1.5,14.0,8.0,10.0,4.0,8.0,12.0
6,15.0,8.5,10.0,1.0,12.0,5.5,14.0,5.5,2.0,12.0,8.5,5.5,5.5,12.0,3.0
7,15.0,5.0,13.5,2.0,11.5,8.0,2.0,8.0,10.0,5.0,2.0,11.5,5.0,8.0,13.5
8,15.0,12.0,7.5,3.5,14.0,7.5,3.5,7.5,1.0,7.5,12.0,3.5,12.0,10.0,3.5
9,15.0,7.5,12.5,4.0,9.0,2.0,6.0,4.0,1.0,12.5,4.0,7.5,10.0,14.0,11.0
10,15.0,9.5,12.0,2.5,2.5,7.0,4.5,12.0,1.0,12.0,4.5,14.0,7.0,9.5,7.0
11,10.0,3.0,15.0,1.5,13.0,10.0,7.0,1.5,7.0,10.0,13.0,4.5,13.0,7.0,4.5
12,14.0,5.5,10.0,2.5,10.0,5.5,12.5,2.5,5.5,15.0,8.0,1.0,10.0,5.5,12.5
13,15.0,7.5,14.0,4.0,3.0,1.0,7.5,2.0,5.0,7.5,10.5,12.0,10.5,7.5,13.0
14,13.5,6.5,10.5,3.5,8.5,1.0,6.5,3.5,2.0,5.0,12.0,13.5,15.0,8.5,10.5
15,14.0,11.5,15.0,2.5,2.5,5.0,8.0,1.0,8.0,11.5,10.0,5.0,8.0,5.0,13.0
16,15.0,11.5,6.0,2.5,1.0,13.0,4.0,2.5,6.0,8.5,14.0,11.5,8.5,10.0,6.0
17,14.5,2.0,8.0,11.0,3.5,1.0,8.0,5.5,5.5,14.5,11.0,8.0,13.0,11.0,3.5
18,14.5,7.5,11.0,2.5,13.0,11.0,4.0,9.0,7.5,14.5,1.0,2.5,11.0,6.0,5.0
19,15.0,11.5,5.5,2.0,9.5,5.5,2.0,13.5,5.5,13.5,8.0,2.0,11.5,9.5,5.5
