,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,8.5,14.5,7.0,11.5,10.0,4.0,14.5,2.0,8.5,5.0,13.0,2.0,6.0,2.0,11.5
1,11.5,14.5,1.0,4.5,6.5,3.0,11.5,8.5,2.0,11.5,14.5,8.5,11.5,4.5,6.5
2,14.0,15.0,3.0,1.0,6.5,4.5,11.0,6.5,2.0,11.0,8.5,11.0,8.5,4.5,13.0
3,13.5,7.0,9.5,1.0,13.5,2.5,9.5,5.0,6.0,12.0,9.5,9.5,2.5,4.0,15.0
4,14.0,15.0,11.0,4.0,13.0,2.0,9.5,7.5,1.0,5.5,5.5,3.0,9.5,7.5,12.0
5,7.0,9.0,15.0,11.5,13.5,4.0,2.0,7.0,4.0,11.5,10.0,1.0,4.0,7.0,13.5
6,9.0,15.0,2.0,4.5,14.0,9.0,4.5,11.5,1.0,9.0,13.0,7.0,4.5,4.5,11.5
7,13.0,15.0,9.5,4.5,9.5,2.0,12.0,9.5,1.0,3.0,7.0,14.0,6.0,4.5,9.5
8,15.0,14.0,4.5,9.0,13.0,9.0,7.0,2.0,1.0,11.0,4.5,12.0,4.5,4.5,9.0
9,13.0,15.0,8.5,7.0,11.0,1.5,3.0,10.0,8.5,13.0,6.0,1.5,4.5,4.5,13.0
10,15.0,11.0,12.5,8.0,5.0,2.0,12.5,1.0,10.0,5.0,8.0,3.0,14.0,5.0,8.0
11,12.0,5.0,13.5,5.0,9.5,7.0,9.5,1.5,3.0,13.5,15.0,5.0,9.5,9.5,1.5
12,14.0,15.0,9.0,3.5,13.0,1.0,3.5,6.5,11.5,10.0,6.5,2.0,6.5,6.5,11.5
13,12.0,15.0,11.0,5.0,9.0,5.0,13.5,5.0,10.0,1.0,8.0,2.0,13.5,5.0,5.0
14,15.0,14.0,13.0,11.0,8.5,5.0,8.5,2.5,2.5,4.0,1.0,12.0,8.5,6.0,8.5
15,14.0,5.0,9.0,11.5,1.5,5.0,7.0,15.0,1.5,9.0,3.0,5.0,13.0,9.0,11.5
16,14.0,15.0,5.5,13.0,7.5,2.0,11.5,3.5,1.0,7.5,9.5,3.5,5.5,9.5,11.5
17,12.0,14.0,8.0,4.0,10.0,4.0,12.0,8.0,6.0,12.0,4.0,1.5,8.0,1.5,15.0
18,15.0,14.0,9.0,4.5,11.0,9.0,2.0,6.5,6.5,12.0,9.0,2.0,13.0,4.5,2.0
19,15.0,13.5,12.0,4.0,10.5,4.0,6.5,1.5,9.0,4.0,1.5,10.5,13.5,8.0,6.5
